Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,FALSE
Seel,Water,,325,65,45,55,45,70,45,1,FALSE
Dewgong,Water,Ice,475,90,70,80,70,95,70,1,FALSE
Grimer,Poison,,325,80,80,50,40,50,25,1,FALSE
Muk,Poison,,500,105,105,75,65,100,50,1,FALSE
Shellder,Water,,305,30,65,100,45,25,40,1,FALSE
Cloyster,Water,Ice,525,50,95,180,85,45,70,1,FALSE
Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,FALSE
Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,FALSE
Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,FALSE
GengarMega Gengar,Ghost,Poison,600,60,65,80,170,95,130,1,FALSE
Onix,Rock,Ground,385,35,45,160,30,45,70,1,FALSE
Drowzee,Psychic,,328,60,48,45,43,90,42,1,FALSE
Hypno,Psychic,,483,85,73,70,73,115,67,1,FALSE
Krabby,Water,,325,30,105,90,25,25,50,1,FALSE
Kingler,Water,,475,55,130,115,50,50,75,1,FALSE
Voltorb,Electric,,330,40,30,50,55,55,100,1,FALSE
Electrode,Electric,,480,60,50,70,80,80,140,1,FALSE
Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,FALSE
Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,FALSE
Cubone,Ground,,320,50,50,95,40,50,35,1,FALSE
Marowak,Ground,,425,60,80,110,50,80,45,1,FALSE
Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,FALSE
Hitmonchan,Fighting,,455,50,105,79,35,110,76,1,FALSE
Lickitung,Normal,,385,90,55,75,60,75,30,1,FALSE
Koffing,Poison,,340,40,65,95,60,45,35,1,FALSE
Weezing,Poison,,490,65,90,120,85,70,60,1,FALSE
Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,FALSE
Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,FALSE
Chansey,Normal,,450,250,5,5,35,105,50,1,FALSE
Tangela,Grass,,435,65,55,115,100,40,60,1,FALSE
Kangaskhan,Normal,,490,105,95,80,40,80,90,1,FALSE
KangaskhanMega Kangaskhan,Normal,,590,105,125,100,60,100,100,1,FALSE
Horsea,Water,,295,30,40,70,70,25,60,1,FALSE
Seadra,Water,,440,55,65,95,95,45,85,1,FALSE
Goldeen,Water,,320,45,67,60,35,50,63,1,FALSE
Seaking,Water,,450,80,92,65,65,80,68,1,FALSE
Staryu,Water,,340,30,45,55,70,55,85,1,FALSE
Starmie,Water,Psychic,520,60,75,85,100,85,115,1,FALSE
Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,FALSE
Scyther,Bug,Flying,500,70,110,80,55,80,105,1,FALSE
Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,FALSE
Electabuzz,Electric,,490,65,83,57,95,85,105,1,FALSE
Magmar,Fire,,495,65,95,57,100,85,93,1,FALSE
Pinsir,Bug,,500,65,125,100,55,70,85,1,FALSE
PinsirMega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1,FALSE
Tauros,Normal,,490,75,100,95,40,70,110,1,FALSE
Magikarp,Water,,200,20,10,55,15,20,80,1,FALSE
Gyarados,Water,Flying,540,95,125,79,60,100,81,1,FALSE
GyaradosMega Gyarados,Water,Dark,640,95,155,109,70,130,81,1,FALSE
Lapras,Water,Ice,535,130,85,80,85,95,60,1,FALSE
Ditto,Normal,,288,48,48,48,48,48,48,1,FALSE
Eevee,Normal,,325,55,55,50,45,65,55,1,FALSE
Vaporeon,Water,,525,130,65,60,110,95,65,1,FALSE
Jolteon,Electric,,525,65,65,60,110,95,130,1,FALSE
Flareon,Fire,,525,65,130,60,95,110,65,1,FALSE
Porygon,Normal,,395,65,60,70,85,75,40,1,FALSE
Omanyte,Rock,Water,355,35,40,100,90,55,35,1,FALSE
Omastar,Rock,Water,495,70,60,125,115,70,55,1,FALSE
Kabuto,Rock,Water,355,30,80,90,55,45,55,1,FALSE
Kabutops,Rock,Water,495,60,115,105,65,70,80,1,FALSE
Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,FALSE
AerodactylMega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,FALSE
Snorlax,Normal,,540,160,110,65,65,110,30,1,FALSE
Articuno,Ice,Flying,580,90,85,100,95,125,85,1,TRUE
Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,TRUE
Moltres,Fire,Flying,580,90,100,90,125,85,90,1,TRUE
Dratini,Dragon,,300,41,64,45,50,50,50,1,FALSE
Dragonair,Dragon,,420,61,84,65,70,70,70,1,FALSE
Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,FALSE
Mewtwo,Psychic,,680,106,110,90,154,90,130,1,TRUE
MewtwoMega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,1,TRUE
MewtwoMega Mewtwo Y,Psychic,,780,106,150,70,194,120,140,1,TRUE
Mew,Psychic,,600,100,100,100,100,100,100,1,FALSE
Chikorita,Grass,,318,45,49,65,49,65,45,2,FALSE
Bayleef,Grass,,405,60,62,80,63,80,60,2,FALSE
Meganium,Grass,,525,80,82,100,83,100,80,2,FALSE
Cyndaquil,Fire,,309,39,52,43,60,50,65,2,FALSE
Quilava,Fire,,405,58,64,58,80,65,80,2,FALSE
Typhlosion,Fire,,534,78,84,78,109,85,100,2,FALSE
Totodile,Water,,314,50,65,64,44,48,43,2,FALSE
Croconaw,Water,,405,65,80,80,59,63,58,2,FALSE
Feraligatr,Water,,530,85,105,100,79,83,78,2,FALSE
Sentret,Normal,,215,35,46,34,35,45,20,2,FALSE
Furret,Normal,,415,85,76,64,45,55,90,2,FALSE
Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,FALSE
Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,FALSE
Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,FALSE
Ledian,Bug,Flying,390,55,35,50,55,110,85,2,FALSE
Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,FALSE
Ariados,Bug,Poison,390,70,90,70,60,60,40,2,FALSE
Crobat,Poison,Flying,535,85,90,80,70,80,130,2,FALSE
Chinchou,Water,Electric,330,75,38,38,56,56,67,2,FALSE
Lanturn,Water,Electric,460,125,58,58,76,76,67,2,FALSE
Pichu,Electric,,205,20,40,15,35,35,60,2,FALSE
Cleffa,Fairy,,218,50,25,28,45,55,15,2,FALSE
Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,FALSE
Togepi,Fairy,,245,35,20,65,40,65,20,2,FALSE
Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,FALSE
Natu,Psychic,Flying,320,40,50,45,70,45,70,2,FALSE
Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,FALSE
Mareep,Electric,,280,55,40,40,65,45,35,2,FALSE
Flaaffy,Electric,,365,70,55,55,80,60,45,2,FALSE
Ampharos,Electric,,510,90,75,85,115,90,55,2,FALSE
AmpharosMega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,2,FALSE
Bellossom,Grass,,490,75,80,95,90,100,50,2,FALSE
Marill,Water,Fairy,250,70,20,50,20,50,40,2,FALSE
Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,FALSE
Sudowoodo,Rock,,410,70,100,115,30,65,30,2,FALSE
Politoed,Water,,500,90,75,75,90,100,70,2,FALSE
Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,FALSE
Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,FALSE
Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,FALSE
Aipom,Normal,,360,55,70,55,40,55,85,2,FALSE
Sunkern,Grass,,180,30,30,30,30,30,30,2,FALSE
Sunflora,Grass,,425,75,75,55,105,85,30,2,FALSE
Yanma,Bug,Flying,390,65,65,45,75,45,95,2,FALSE
Wooper,Water,Ground,210,55,45,45,25,25,15,2,FALSE
Quagsire,Water,Ground,430,95,85,85,65,65,35,2,FALSE
Espeon,Psychic,,525,65,65,60,130,95,110,2,FALSE
Umbreon,Dark,,525,95,65,110,60,130,65,2,FALSE
Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,FALSE
Slowking,Water,Psychic,490,95,75,80,100,110,30,2,FALSE
Misdreavus,Ghost,,435,60,60,60,85,85,85,2,FALSE
Unown,Psychic,,336,48,72,48,72,48,48,2,FALSE
Wobbuffet,Psychic,,405,190,33,58,33,58,33,2,FALSE
Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,FALSE
Pineco,Bug,,290,50,65,90,35,35,15,2,FALSE
Forretress,Bug,Steel,465,75,90,140,60,60,40,2,FALSE
Dunsparce,Normal,,415,100,70,70,65,65,45,2,FALSE
Gligar,Ground,Flying,430,65,75,105,35,65,85,2,FALSE
Steelix,Steel,Ground,510,75,85,200,55,65,30,2,FALSE
SteelixMega Steelix,Steel,Ground,610,75,125,230,55,95,30,2,FALSE
Snubbull,Fairy,,300,60,80,50,40,40,30,2,FALSE
Granbull,Fairy,,450,90,120,75,60,60,45,2,FALSE
Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,FALSE
Scizor,Bug,Steel,500,70,130,100,55,80,65,2,FALSE
ScizorMega Scizor,Bug,Steel,600,70,150,140,65,100,75,2,FALSE
Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,FALSE
Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,FALSE
HeracrossMega Heracross,Bug,Fighting,600,80,185,115,40,105,75,2,FALSE
Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,FALSE
Teddiursa,Normal,,330,60,80,50,50,50,40,2,FALSE
Ursaring,Normal,,500,90,130,75,75,75,55,2,FALSE
Slugma,Fire,,250,40,40,40,70,40,20,2,FALSE
Magcargo,Fire,Rock,410,50,50,120,80,80,30,2,FALSE
Swinub,Ice,Ground,250,50,50,40,30,30,50,2,FALSE
Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,FALSE
Corsola,Water,Rock,380,55,55,85,65,85,35,2,FALSE
Remoraid,Water,,300,35,65,35,65,35,65,2,FALSE
Octillery,Water,,480,75,105,75,105,75,45,2,FALSE
Delibird,Ice,Flying,330,45,55,45,65,45,75,2,FALSE
Mantine,Water,Flying,465,65,40,70,80,140,70,2,FALSE
Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,FALSE
Houndour,Dark,Fire,330,45,60,30,80,50,65,2,FALSE
Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,FALSE
HoundoomMega Houndoom,Dark,Fire,600,75,90,90,140,90,115,2,FALSE
Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,FALSE
Phanpy,Ground,,330,90,60,60,40,40,40,2,FALSE
Donphan,Ground,,500,90,120,120,60,60,50,2,FALSE
Porygon2,Normal,,515,85,80,90,105,95,60,2,FALSE
Stantler,Normal,,465,73,95,62,85,65,85,2,FALSE
Smeargle,Normal,,250,55,20,35,20,45,75,2,FALSE
Tyrogue,Fighting,,210,35,35,35,35,35,35,2,FALSE
Hitmontop,Fighting,,455,50,95,95,35,110,70,2,FALSE
Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,FALSE
Elekid,Electric,,360,45,63,37,65,55,95,2,FALSE
Magby,Fire,,365,45,75,37,70,55,83,2,FALSE
Miltank,Normal,,490,95,80,105,40,70,100,2,FALSE
Blissey,Normal,,540,255,10,10,75,135,55,2,FALSE
Raikou,Electric,,580,90,85,75,115,100,115,2,TRUE
Entei,Fire,,580,115,115,85,90,75,100,2,TRUE
Suicune,Water,,580,100,75,115,90,115,85,2,TRUE
Larvitar,Rock,Ground,300,50,64,50,45,50,41,2,FALSE
Pupitar,Rock,Ground,410,70,84,70,65,70,51,2,FALSE
Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,FALSE
TyranitarMega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,2,FALSE
Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,TRUE
Ho-oh,Fire,Flying,680,106,130,90,110,154,90,2,TRUE
Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,FALSE
Treecko,Grass,,310,40,45,35,65,55,70,3,FALSE
Grovyle,Grass,,405,50,65,45,85,65,95,3,FALSE
Sceptile,Grass,,530,70,85,65,105,85,120,3,FALSE
SceptileMega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,3,FALSE
Torchic,Fire,,310,45,60,40,70,50,45,3,FALSE
Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,FALSE
Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,FALSE
BlazikenMega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,3,FALSE
Mudkip,Water,,310,50,70,50,50,50,40,3,FALSE
Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,FALSE
Swampert,Water,Ground,535,100,110,90,85,90,60,3,FALSE
SwampertMega Swampert,Water,Ground,635,100,150,110,95,110,70,3,FALSE
Poochyena,Dark,,220,35,55,35,30,30,35,3,FALSE
Mightyena,Dark,,420,70,90,70,60,60,70,3,FALSE
Zigzagoon,Normal,,240,38,30,41,30,41,60,3,FALSE
Linoone,Normal,,420,78,70,61,50,61,100,3,FALSE
Wurmple,Bug,,195,45,45,35,20,30,20,3,FALSE
Silcoon,Bug,,205,50,35,55,25,25,15,3,FALSE
Beautifly,Bug,Flying,395,60,70,50,100,50,65,3,FALSE
Cascoon,Bug,,205,50,35,55,25,25,15,3,FALSE
Dustox,Bug,Poison,385,60,50,70,50,90,65,3,FALSE
Lotad,Water,Grass,220,40,30,30,40,50,30,3,FALSE
Lombre,Water,Grass,340,60,50,50,60,70,50,3,FALSE
Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,FALSE
Seedot,Grass,,220,40,40,50,30,30,30,3,FALSE
Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,FALSE
Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,FALSE
Taillow,Normal,Flying,270,40,55,30,30,30,85,3,FALSE
Swellow,Normal,Flying,430,60,85,60,50,50,125,3,FALSE
Wingull,Water,Flying,270,40,30,30,55,30,85,3,FALSE
Pelipper,Water,Flying,430,60,50,100,85,70,65,3,FALSE
Ralts,Psychic,Fairy,198,28,25,25,45,35,40,3,FALSE
Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,3,FALSE
Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,FALSE
GardevoirMega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,3,FALSE
Surskit,Bug,Water,269,40,30,32,50,52,65,3,FALSE
Masquerain,Bug,Flying,414,70,60,62,80,82,60,3,FALSE
Shroomish,Grass,,295,60,40,60,40,60,35,3,FALSE
Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,FALSE
Slakoth,Normal,,280,60,60,60,35,35,30,3,FALSE
Vigoroth,Normal,,440,80,80,80,55,55,90,3,FALSE
Slaking,Normal,,670,150,160,100,95,65,100,3,FALSE
Nincada,Bug,Ground,266,31,45,90,30,30,40,3,FALSE
Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,FALSE
Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,FALSE
Whismur,Normal,,240,64,51,23,51,23,28,3,FALSE
Loudred,Normal,,360,84,71,43,71,43,48,3,FALSE
Exploud,Normal,,490,104,91,63,91,73,68,3,FALSE
Makuhita,Fighting,,237,72,60,30,20,30,25,3,FALSE
Hariyama,Fighting,,474,144,120,60,40,60,50,3,FALSE
Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,FALSE
Nosepass,Rock,,375,30,45,135,45,90,30,3,FALSE
Skitty,Normal,,260,50,45,45,35,35,50,3,FALSE
Delcatty,Normal,,380,70,65,65,55,55,70,3,FALSE
Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,FALSE
SableyeMega Sableye,Dark,Ghost,480,50,85,125,85,115,20,3,FALSE
Mawile,Steel,Fairy,380,50,85,85,55,55,50,3,FALSE
MawileMega Mawile,Steel,Fairy,480,50,105,125,55,95,50,3,FALSE
Aron,Steel,Rock,330,50,70,100,40,40,30,3,FALSE
Lairon,Steel,Rock,430,60,90,140,50,50,40,3,FALSE
Aggron,Steel,Rock,530,70,110,180,60,60,50,3,FALSE
AggronMega Aggron,Steel,,630,70,140,230,60,80,50,3,FALSE
Meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,FALSE
Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,FALSE
MedichamMega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,3,FALSE
Electrike,Electric,,295,40,45,40,65,40,65,3,FALSE
Manectric,Electric,,475,70,75,60,105,60,105,3,FALSE
ManectricMega Manectric,Electric,,575,70,75,80,135,80,135,3,FALSE
Plusle,Electric,,405,60,50,40,85,75,95,3,FALSE
Minun,Electric,,405,60,40,50,75,85,95,3,FALSE
Volbeat,Bug,,400,65,73,55,47,75,85,3,FALSE
Illumise,Bug,,400,65,47,55,73,75,85,3,FALSE
Roselia,Grass,Poison,400,50,60,45,100,80,65,3,FALSE
Gulpin,Poison,,302,70,43,53,43,53,40,3,FALSE
Swalot,Poison,,467,100,73,83,73,83,55,3,FALSE
Carvanha,Water,Dark,305,45,90,20,65,20,65,3,FALSE
Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,FALSE
SharpedoMega Sharpedo,Water,Dark,560,70,140,70,110,65,105,3,FALSE
Wailmer,Water,,400,130,70,35,70,35,60,3,FALSE
Wailord,Water,,500,170,90,45,90,45,60,3,FALSE
Numel,Fire,Ground,305,60,60,40,65,45,35,3,FALSE
Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,FALSE
CameruptMega Camerupt,Fire,Ground,560,70,120,100,145,105,20,3,FALSE
Torkoal,Fire,,470,70,85,140,85,70,20,3,FALSE
Spoink,Psychic,,330,60,25,35,70,80,60,3,FALSE
Grumpig,Psychic,,470,80,45,65,90,110,80,3,FALSE
Spinda,Normal,,360,60,60,60,60,60,60,3,FALSE
Trapinch,Ground,,290,45,100,45,45,45,10,3,FALSE
Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,FALSE
Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,FALSE
Cacnea,Grass,,335,50,85,40,85,40,35,3,FALSE
Cacturne,Grass,Dark,475,70,115,60,115,60,55,3,FALSE
Swablu,Normal,Flying,310,45,40,60,40,75,50,3,FALSE
Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,FALSE
AltariaMega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,3,FALSE
Zangoose,Normal,,458,73,115,60,60,60,90,3,FALSE
Seviper,Poison,,458,73,100,60,100,60,65,3,FALSE
Lunatone,Rock,Psychic,440,70,55,65,95,85,70,3,FALSE
Solrock,Rock,Psychic,440,70,95,85,55,65,70,3,FALSE
Barboach,Water,Ground,288,50,48,43,46,41,60,3,FALSE
Whiscash,Water,Ground,468,110,78,73,76,71,60,3,FALSE
Corphish,Water,,308,43,80,65,50,35,35,3,FALSE
Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,FALSE
Baltoy,Ground,Psychic,300,40,40,55,40,70,55,3,FALSE
Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,FALSE
Lileep,Rock,Grass,355,66,41,77,61,87,23,3,FALSE
Cradily,Rock,Grass,495,86,81,97,81,107,43,3,FALSE
Anorith,Rock,Bug,355,45,95,50,40,50,75,3,FALSE
Armaldo,Rock,Bug,495,75,125,100,70,80,45,3,FALSE
Feebas,Water,,200,20,15,20,10,55,80,3,FALSE
Milotic,Water,,540,95,60,79,100,125,81,3,FALSE
Castform,Normal,,420,70,70,70,70,70,70,3,FALSE
Kecleon,Normal,,440,60,90,70,60,120,40,3,FALSE
Shuppet,Ghost,,295,44,75,35,63,33,45,3,FALSE
Banette,Ghost,,455,64,115,65,83,63,65,3,FALSE
BanetteMega Banette,Ghost,,555,64,165,75,93,83,75,3,FALSE
Duskull,Ghost,,295,20,40,90,30,90,25,3,FALSE
Dusclops,Ghost,,455,40,70,130,60,130,25,3,FALSE
Tropius,Grass,Flying,460,99,68,83,72,87,51,3,FALSE
Chimecho,Psychic,,425,65,50,70,95,80,65,3,FALSE
Absol,Dark,,465,65,130,60,75,60,75,3,FALSE
AbsolMega Absol,Dark,,565,65,150,60,115,60,115,3,FALSE
Wynaut,Psychic,,260,95,23,48,23,48,23,3,FALSE
Snorunt,Ice,,300,50,50,50,50,50,50,3,FALSE
Glalie,Ice,,480,80,80,80,80,80,80,3,FALSE
GlalieMega Glalie,Ice,,580,80,120,80,120,80,100,3,FALSE
Spheal,Ice,Water,290,70,40,50,55,50,25,3,FALSE
Sealeo,Ice,Water,410,90,60,70,75,70,45,3,FALSE
Walrein,Ice,Water,530,110,80,90,95,90,65,3,FALSE
Clamperl,Water,,345,35,64,85,74,55,32,3,FALSE
Huntail,Water,,485,55,104,105,94,75,52,3,FALSE
Gorebyss,Water,,485,55,84,105,114,75,52,3,FALSE
Relicanth,Water,Rock,485,100,90,130,45,65,55,3,FALSE
Luvdisc,Water,,330,43,30,55,40,65,97,3,FALSE
Bagon,Dragon,,300,45,75,60,40,30,50,3,FALSE
Shelgon,Dragon,,420,65,95,100,60,50,50,3,FALSE
Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,FALSE
SalamenceMega Salamence,Dragon,Flying,700,95,145,130,120,90,120,3,FALSE
